test AUC (pungent),Number of parameters,edge dim,node dim,globals dim,learn edges,learn globals,learn nodes,aggregation type,n layers,n learn,Message passing
0.7581349015235901,54266,20,25,100,False,True,False,max,4,1,globals
0.7581349015235901,54266,20,25,100,False,True,False,mean,4,1,globals
0.7581349015235901,54266,20,25,100,False,True,False,sum,4,1,globals
0.7249928116798401,9711,5,25,25,True,True,False,max,4,2,edges & globals
0.7249928116798401,9711,5,25,25,True,True,False,mean,4,2,edges & globals
0.7249928116798401,9711,5,25,25,True,True,False,sum,4,2,edges & globals
0.7457675337791443,11971,10,25,25,True,True,False,max,4,2,edges & globals
0.7457675337791443,11971,10,25,25,True,True,False,mean,4,2,edges & globals
0.7457675337791443,11971,10,25,25,True,True,False,sum,4,2,edges & globals
0.7674318552017212,17091,20,25,25,True,True,False,max,4,2,edges & globals
0.7674318552017212,17091,20,25,25,True,True,False,mean,4,2,edges & globals
0.7674318552017212,17091,20,25,25,True,True,False,sum,4,2,edges & globals
0.7051936388015747,19061,5,25,50,True,True,False,max,4,2,edges & globals
0.7051936388015747,19061,5,25,50,True,True,False,mean,4,2,edges & globals
0.7051936388015747,19061,5,25,50,True,True,False,sum,4,2,edges & globals
0.7635580897331238,22196,10,25,50,True,True,False,max,4,2,edges & globals
0.7635580897331238,22196,10,25,50,True,True,False,mean,4,2,edges & globals
0.7635580897331238,22196,10,25,50,True,True,False,sum,4,2,edges & globals
0.7687231302261353,29066,20,25,50,True,True,False,max,4,2,edges & globals
0.7687231302261353,29066,20,25,50,True,True,False,mean,4,2,edges & globals
0.7687231302261353,29066,20,25,50,True,True,False,sum,4,2,edges & globals
0.7315638661384583,49011,5,25,100,True,True,False,max,4,2,edges & globals
0.7315638661384583,49011,5,25,100,True,True,False,mean,4,2,edges & globals
0.7315638661384583,49011,5,25,100,True,True,False,sum,4,2,edges & globals
0.7731420993804932,53896,10,25,100,True,True,False,max,4,2,edges & globals
0.7731420993804932,53896,10,25,100,True,True,False,mean,4,2,edges & globals
0.7731420993804932,53896,10,25,100,True,True,False,sum,4,2,edges & globals
0.7675466537475586,64266,20,25,100,True,True,False,max,4,2,edges & globals
0.7675466537475586,64266,20,25,100,True,True,False,mean,4,2,edges & globals
